type,pkt_count,mac,rssi,rate,noise_floor,channel,rx_local_timestamp_us,len,data
CSI_DATA,63547,3c:dc:75:82:1e:a8,-26,11,-98,157,838088351,114,"[-3,19,-4,19,-5,20,-6,20,-6,19,-7,21,-7,20,-8,20,-7,21,-8,20,-7,22,-6,22,-6,24,-6,25,-6,25,-4,26,-4,26,-3,27,-2,29,-3,29,0,31,0,32,0,33,1,33,3,35,4,35,5,35,6,35,0,0,7,35,7,35,10,35,9,35,11,33,13,35,11,33,12,33,13,32,14,29,15,29,16,27,15,27,14,25,16,24,16,24,15,24,17,23,17,21,17,22,15,21,16,21,15,21,14,22,14,22,12,22,10,23,9,23]"
CSI_DATA,63548,3c:dc:75:82:1e:a8,-25,11,-98,157,838101351,114,"[1,19,-1,20,-2,20,-4,21,-5,19,-5,21,-5,20,-8,21,-8,20,-10,20,-8,21,-9,22,-9,22,-10,24,-10,23,-10,26,-10,25,-10,25,-10,26,-11,29,-12,29,-10,30,-11,31,-12,30,-12,32,-12,33,-12,33,-12,34,0,0,-12,33,-12,35,-13,34,-14,35,-12,33,-13,34,-13,32,-14,33,-12,31,-11,32,-12,30,-11,29,-11,28,-12,27,-12,28,-9,27,-11,26,-11,26,-11,24,-12,24,-12,25,-12,23,-14,24,-14,23,-16,21,-17,19,-19,17,-19,15]"
CSI_DATA,63549,3c:dc:75:82:1e:a8,-25,11,-98,157,838114351,114,"[-15,13,-15,12,-17,12,-18,12,-18,11,-19,12,-19,10,-20,11,-19,11,-20,11,-21,12,-20,12,-22,14,-21,13,-21,14,-19,16,-21,17,-21,19,-23,18,-24,19,-22,21,-23,22,-23,24,-22,24,-23,26,-23,26,-22,28,-22,28,0,0,-20,29,-20,30,-20,32,-19,31,-18,32,-17,30,-17,30,-17,30,-15,30,-13,30,-12,30,-11,30,-10,29,-10,29,-9,27,-7,28,-7,27,-6,27,-7,27,-6,27,-6,26,-7,25,-8,25,-8,25,-9,25,-9,24,-13,22,-13,21]"
CSI_DATA,63550,3c:dc:75:82:1e:a8,-25,11,-98,157,838127351,114,"[-13,14,-15,13,-17,13,-18,12,-18,12,-19,12,-19,11,-20,10,-20,11,-21,9,-19,10,-22,9,-22,8,-24,8,-24,9,-25,10,-26,9,-26,11,-27,10,-28,10,-30,11,-29,14,-30,12,-30,12,-31,12,-32,11,-34,11,-33,12,0,0,-33,12,-36,13,-34,12,-35,12,-33,11,-33,13,-33,11,-34,10,-32,10,-31,10,-31,9,-28,10,-29,7,-28,8,-28,9,-26,9,-27,8,-28,8,-25,7,-26,7,-26,6,-26,4,-25,2,-26,2,-25,-1,-26,-3,-25,-6,-23,-7]"
CSI_DATA,63551,3c:dc:75:82:1e:a8,-25,11,-98,157,838140352,114,"[-19,2,-20,0,-21,0,-22,-2,-22,-1,-21,-2,-21,-4,-21,-3,-22,-3,-22,-5,-24,-3,-23,-5,-25,-4,-25,-3,-25,-3,-27,-2,-27,-1,-28,2,-28,0,-29,-1,-31,1,-32,3,-33,2,-33,4,-35,3,-35,4,-35,7,-35,5,0,0,-35,8,-35,10,-34,10,-35,8,-35,11,-34,11,-34,11,-33,10,-31,12,-30,12,-30,13,-27,13,-27,13,-27,12,-26,14,-24,13,-24,13,-24,15,-23,14,-25,15,-22,12,-21,12,-22,11,-24,11,-24,10,-24,9,-24,6,-24,5]"
CSI_DATA,63552,3c:dc:75:82:1e:a8,-25,11,-98,157,838153352,114,"[-15,12,-16,10,-18,11,-19,9,-21,9,-20,7,-21,6,-21,7,-21,6,-23,4,-23,6,-24,4,-26,4,-24,4,-25,3,-25,4,-27,3,-29,6,-29,4,-30,3,-30,4,-31,5,-32,4,-33,5,-35,4,-36,4,-34,3,-35,3,0,0,-37,3,-38,5,-35,1,-36,1,-36,2,-34,1,-36,1,-35,1,-34,0,-33,1,-32,0,-30,0,-30,-2,-28,-1,-29,1,-27,-1,-29,-1,-28,-1,-26,-1,-27,-4,-27,-3,-25,-4,-24,-7,-25,-9,-23,-9,-23,-12,-21,-13,-19,-14]"
CSI_DATA,63553,3c:dc:75:82:1e:a8,-25,11,-98,157,838166352,114,"[-18,8,-19,6,-20,6,-21,5,-21,3,-20,3,-23,3,-22,3,-24,3,-24,4,-24,2,-24,3,-24,4,-26,5,-25,4,-27,6,-27,6,-28,8,-29,6,-29,8,-29,8,-30,9,-31,9,-32,10,-33,11,-32,12,-32,13,-32,13,0,0,-32,16,-33,17,-33,15,-33,16,-31,16,-31,17,-30,15,-30,16,-30,16,-28,19,-26,18,-25,19,-24,16,-23,16,-23,17,-22,17,-22,17,-21,17,-21,17,-22,16,-20,16,-22,14,-21,15,-22,15,-23,13,-22,11,-23,8,-22,8]"
CSI_DATA,63554,3c:dc:75:82:1e:a8,-25,11,-98,157,838179352,114,"[-9,19,-10,18,-11,18,-13,15,-15,16,-15,15,-16,15,-18,14,-18,14,-19,13,-19,13,-20,14,-21,15,-23,13,-22,13,-23,13,-22,14,-25,15,-25,13,-26,16,-28,14,-30,16,-28,15,-29,14,-32,15,-32,15,-31,16,-32,15,0,0,-33,15,-34,14,-32,13,-35,14,-33,12,-34,12,-33,12,-32,11,-33,9,-32,12,-30,11,-28,8,-28,8,-27,8,-28,8,-27,7,-28,7,-28,5,-27,6,-26,3,-25,2,-26,3,-26,0,-26,-1,-25,-4,-23,-5,-24,-9,-22,-9]"
CSI_DATA,63555,3c:dc:75:82:1e:a8,-25,11,-98,157,838192352,114,"[-19,3,-20,3,-22,2,-21,0,-21,0,-21,0,-22,-2,-23,-2,-23,-2,-22,-4,-23,-3,-23,-4,-25,-4,-24,-4,-26,-3,-27,-1,-27,-2,-29,1,-29,-1,-30,-1,-31,0,-32,2,-33,0,-33,2,-35,0,-34,2,-35,3,-37,2,0,0,-36,5,-36,6,-34,6,-36,6,-35,6,-36,7,-34,5,-33,5,-32,6,-32,7,-31,8,-30,7,-29,7,-28,7,-28,8,-27,9,-26,9,-27,8,-26,9,-26,7,-25,7,-25,5,-25,5,-26,5,-25,4,-25,1,-24,-1,-23,-2]"
CSI_DATA,63556,3c:dc:75:82:1e:a8,-25,11,-98,157,838205352,114,"[-13,15,-15,14,-17,13,-18,11,-18,10,-20,10,-21,8,-21,7,-22,6,-22,6,-23,6,-24,5,-24,6,-25,5,-24,4,-28,5,-28,4,-28,4,-29,3,-30,2,-31,3,-31,2,-32,2,-35,1,-34,2,-35,2,-37,3,-36,0,0,0,-37,0,-36,-1,-36,-3,-36,-3,-35,-3,-35,-3,-34,-4,-32,-4,-32,-7,-32,-5,-30,-4,-30,-4,-29,-6,-28,-5,-28,-8,-26,-7,-26,-7,-26,-8,-26,-9,-25,-10,-24,-9,-23,-12,-22,-13,-21,-13,-22,-15,-18,-17,-15,-19,-14,-19]"
