type,csi_pkt_count,seq,tx_us,rx_us,host_rx_us,host_rx_iso
CSI_META,623,28519,371863467,19921610,1774861900970540,2026-03-30T17:11:40.970
CSI_META,624,28520,371876467,19933471,1774861900983370,2026-03-30T17:11:40.983
CSI_META,625,28521,371889467,19946655,1774861900996418,2026-03-30T17:11:40.996
CSI_META,626,28522,371902467,19960231,1774861901010330,2026-03-30T17:11:41.010
CSI_META,627,28523,371915467,19974646,1774861901025201,2026-03-30T17:11:41.025
CSI_META,628,28524,371928467,19984777,1774861901035858,2026-03-30T17:11:41.035
CSI_META,629,28525,371941467,19998927,1774861901062086,2026-03-30T17:11:41.062
CSI_META,630,28527,371967467,20025708,1774861901074219,2026-03-30T17:11:41.074
CSI_META,631,28528,371980467,20038242,1774861901087811,2026-03-30T17:11:41.087
CSI_META,632,28529,371993467,20050169,1774861901099939,2026-03-30T17:11:41.099
CSI_META,633,28530,372006467,20064223,1774861901113645,2026-03-30T17:11:41.113
CSI_META,634,28531,372019467,20076917,1774861901126037,2026-03-30T17:11:41.126
CSI_META,635,28532,372032467,20089309,1774861901139031,2026-03-30T17:11:41.139
CSI_META,636,28533,372045467,20102016,1774861901152018,2026-03-30T17:11:41.152
CSI_META,637,28534,372058467,20115451,1774861901165391,2026-03-30T17:11:41.165
CSI_META,638,28535,372071467,20128710,1774861901178117,2026-03-30T17:11:41.178
CSI_META,639,28536,372084467,20141537,1774861901191397,2026-03-30T17:11:41.191
CSI_META,640,28537,372097467,20154954,1774861901204166,2026-03-30T17:11:41.204
CSI_META,641,28538,372110467,20167179,1774861901217856,2026-03-30T17:11:41.217
CSI_META,642,28539,372123467,20180678,1774861901230763,2026-03-30T17:11:41.230
CSI_META,643,28540,372136467,20193439,1774861901243707,2026-03-30T17:11:41.243
CSI_META,644,28541,372149467,20207774,1774861901256395,2026-03-30T17:11:41.256
CSI_META,645,28542,372162467,20219136,1774861901269659,2026-03-30T17:11:41.269
CSI_META,646,28543,372175467,20233069,1774861901282934,2026-03-30T17:11:41.282
CSI_META,647,28544,372188467,20245147,1774861901296237,2026-03-30T17:11:41.296
CSI_META,648,28545,372201467,20259486,1774861901308038,2026-03-30T17:11:41.308
CSI_META,649,28546,372214467,20272362,1774861901321886,2026-03-30T17:11:41.321
CSI_META,650,28547,372227467,20285047,1774861901334568,2026-03-30T17:11:41.334
CSI_META,651,28548,372240467,20297960,1774861901348212,2026-03-30T17:11:41.348
CSI_META,652,28549,372253467,20311177,1774861901359948,2026-03-30T17:11:41.359
CSI_META,653,28550,372266467,20323960,1774861901373538,2026-03-30T17:11:41.373
CSI_META,654,28551,372279467,20336589,1774861901385982,2026-03-30T17:11:41.385
CSI_META,655,28552,372292467,20349548,1774861901400204,2026-03-30T17:11:41.400
CSI_META,656,28553,372305467,20363236,1774861901412436,2026-03-30T17:11:41.412
CSI_META,657,28554,372318467,20375299,1774861901426167,2026-03-30T17:11:41.426
CSI_META,658,28555,372331467,20389481,1774861901438534,2026-03-30T17:11:41.438
CSI_META,659,28556,372344467,20401961,1774861901451379,2026-03-30T17:11:41.451
CSI_META,660,28557,372357467,20414288,1774861901464524,2026-03-30T17:11:41.464
CSI_META,661,28558,372370467,20428329,1774861901477967,2026-03-30T17:11:41.477
CSI_META,662,28559,372383467,20440418,1774861901490069,2026-03-30T17:11:41.490
CSI_META,663,28560,372396467,20453938,1774861901503509,2026-03-30T17:11:41.503
CSI_META,664,28561,372409467,20467597,1774861901516797,2026-03-30T17:11:41.516
CSI_META,665,28562,372422467,20480102,1774861901529593,2026-03-30T17:11:41.529
CSI_META,666,28563,372435467,20493297,1774861901542841,2026-03-30T17:11:41.542
CSI_META,667,28564,372448467,20506492,1774861901555650,2026-03-30T17:11:41.555
CSI_META,668,28565,372461467,20519243,1774861901568565,2026-03-30T17:11:41.568
CSI_META,669,28566,372474467,20531115,1774861901581460,2026-03-30T17:11:41.581
CSI_META,670,28567,372487467,20545156,1774861901594455,2026-03-30T17:11:41.594
CSI_META,671,28568,372500467,20557873,1774861901608376,2026-03-30T17:11:41.608
CSI_META,672,28569,372513467,20570505,1774861901620179,2026-03-30T17:11:41.620
CSI_META,673,28570,372526467,20583072,1774861901633031,2026-03-30T17:11:41.633
CSI_META,674,28571,372539467,20597232,1774861901646559,2026-03-30T17:11:41.646
CSI_META,675,28572,372552467,20610568,1774861901659185,2026-03-30T17:11:41.659
CSI_META,676,28573,372565467,20622506,1774861901673035,2026-03-30T17:11:41.673
CSI_META,677,28574,372578467,20634606,1774861901685720,2026-03-30T17:11:41.685
CSI_META,678,28575,372591467,20648278,1774861901698316,2026-03-30T17:11:41.698
CSI_META,679,28576,372604467,20661948,1774861901711859,2026-03-30T17:11:41.711
CSI_META,680,28577,372617467,20674442,1774861901724635,2026-03-30T17:11:41.724
CSI_META,681,28578,372630467,20688266,1774861901738334,2026-03-30T17:11:41.738
CSI_META,682,28579,372643467,20700984,1774861901751230,2026-03-30T17:11:41.751
CSI_META,683,28580,372656467,20713447,1774861901763700,2026-03-30T17:11:41.763
CSI_META,684,28581,372669467,20726810,1774861901776035,2026-03-30T17:11:41.776
CSI_META,685,28582,372682467,20739246,1774861901790054,2026-03-30T17:11:41.790
CSI_META,686,28583,372695467,20752484,1774861901802802,2026-03-30T17:11:41.802
CSI_META,687,28584,372708467,20765561,1774861901815175,2026-03-30T17:11:41.815
CSI_META,688,28585,372721467,20778333,1774861901828924,2026-03-30T17:11:41.828
CSI_META,689,28586,372734467,20791268,1774861901841975,2026-03-30T17:11:41.841
CSI_META,690,28587,372747467,20805005,1774861901854881,2026-03-30T17:11:41.854
CSI_META,691,28588,372760467,20817523,1774861901867781,2026-03-30T17:11:41.867
CSI_META,692,28589,372773467,20831938,1774861901881382,2026-03-30T17:11:41.881
CSI_META,693,28590,372786467,20843745,1774861901893741,2026-03-30T17:11:41.893
CSI_META,694,28591,372799467,20857580,1774861901906710,2026-03-30T17:11:41.906
CSI_META,695,28592,372812467,20870933,1774861901919182,2026-03-30T17:11:41.919
CSI_META,696,28593,372825467,20883971,1774861901933804,2026-03-30T17:11:41.933
CSI_META,697,28594,372838467,20895561,1774861901945692,2026-03-30T17:11:41.945
CSI_META,698,28595,372851467,20908073,1774861901958507,2026-03-30T17:11:41.958
CSI_META,699,28596,372864467,20921789,1774861901971679,2026-03-30T17:11:41.971
CSI_META,700,28597,372877467,20934268,1774861901984935,2026-03-30T17:11:41.984
CSI_META,701,28598,372890467,20948006,1774861901997599,2026-03-30T17:11:41.997
CSI_META,702,28599,372903467,20961613,1774861902010138,2026-03-30T17:11:42.010
