type,seq,tx_us,rx_us,mac,host_rx_us,host_rx_iso
ESPNOW_DATA,28520,371876467,19933471,3c:dc:75:82:1e:a8,1774861900982230,2026-03-30T17:11:40.982
ESPNOW_DATA,28521,371889467,19946655,3c:dc:75:82:1e:a8,1774861900994293,2026-03-30T17:11:40.994
ESPNOW_DATA,28522,371902467,19960231,3c:dc:75:82:1e:a8,1774861901009239,2026-03-30T17:11:41.009
ESPNOW_DATA,28523,371915467,19974646,3c:dc:75:82:1e:a8,1774861901024172,2026-03-30T17:11:41.024
ESPNOW_DATA,28524,371928467,19984777,3c:dc:75:82:1e:a8,1774861901033687,2026-03-30T17:11:41.033
ESPNOW_DATA,28525,371941467,19998927,3c:dc:75:82:1e:a8,1774861901047436,2026-03-30T17:11:41.047
ESPNOW_DATA,28527,371967467,20025708,3c:dc:75:82:1e:a8,1774861901074219,2026-03-30T17:11:41.074
ESPNOW_DATA,28528,371980467,20038242,3c:dc:75:82:1e:a8,1774861901087811,2026-03-30T17:11:41.087
ESPNOW_DATA,28529,371993467,20050169,3c:dc:75:82:1e:a8,1774861901097851,2026-03-30T17:11:41.097
ESPNOW_DATA,28530,372006467,20064223,3c:dc:75:82:1e:a8,1774861901113645,2026-03-30T17:11:41.113
ESPNOW_DATA,28531,372019467,20076917,3c:dc:75:82:1e:a8,1774861901124849,2026-03-30T17:11:41.124
ESPNOW_DATA,28532,372032467,20089309,3c:dc:75:82:1e:a8,1774861901136081,2026-03-30T17:11:41.136
ESPNOW_DATA,28533,372045467,20102016,3c:dc:75:82:1e:a8,1774861901149687,2026-03-30T17:11:41.149
ESPNOW_DATA,28534,372058467,20115451,3c:dc:75:82:1e:a8,1774861901163223,2026-03-30T17:11:41.163
ESPNOW_DATA,28535,372071467,20128710,3c:dc:75:82:1e:a8,1774861901177079,2026-03-30T17:11:41.177
ESPNOW_DATA,28536,372084467,20141537,3c:dc:75:82:1e:a8,1774861901191397,2026-03-30T17:11:41.191
ESPNOW_DATA,28537,372097467,20154954,3c:dc:75:82:1e:a8,1774861901202939,2026-03-30T17:11:41.202
ESPNOW_DATA,28538,372110467,20167179,3c:dc:75:82:1e:a8,1774861901215044,2026-03-30T17:11:41.215
ESPNOW_DATA,28539,372123467,20180678,3c:dc:75:82:1e:a8,1774861901228050,2026-03-30T17:11:41.228
ESPNOW_DATA,28540,372136467,20193439,3c:dc:75:82:1e:a8,1774861901241406,2026-03-30T17:11:41.241
ESPNOW_DATA,28541,372149467,20207774,3c:dc:75:82:1e:a8,1774861901255312,2026-03-30T17:11:41.255
ESPNOW_DATA,28542,372162467,20219136,3c:dc:75:82:1e:a8,1774861901266581,2026-03-30T17:11:41.266
ESPNOW_DATA,28543,372175467,20233069,3c:dc:75:82:1e:a8,1774861901280368,2026-03-30T17:11:41.280
ESPNOW_DATA,28544,372188467,20245147,3c:dc:75:82:1e:a8,1774861901292932,2026-03-30T17:11:41.292
ESPNOW_DATA,28545,372201467,20259486,3c:dc:75:82:1e:a8,1774861901306850,2026-03-30T17:11:41.306
ESPNOW_DATA,28546,372214467,20272362,3c:dc:75:82:1e:a8,1774861901319628,2026-03-30T17:11:41.319
ESPNOW_DATA,28547,372227467,20285047,3c:dc:75:82:1e:a8,1774861901332140,2026-03-30T17:11:41.332
ESPNOW_DATA,28548,372240467,20297960,3c:dc:75:82:1e:a8,1774861901347160,2026-03-30T17:11:41.347
ESPNOW_DATA,28549,372253467,20311177,3c:dc:75:82:1e:a8,1774861901358670,2026-03-30T17:11:41.358
ESPNOW_DATA,28550,372266467,20323960,3c:dc:75:82:1e:a8,1774861901371315,2026-03-30T17:11:41.371
ESPNOW_DATA,28551,372279467,20336589,3c:dc:75:82:1e:a8,1774861901383769,2026-03-30T17:11:41.383
ESPNOW_DATA,28552,372292467,20349548,3c:dc:75:82:1e:a8,1774861901399155,2026-03-30T17:11:41.399
ESPNOW_DATA,28553,372305467,20363236,3c:dc:75:82:1e:a8,1774861901411126,2026-03-30T17:11:41.411
ESPNOW_DATA,28554,372318467,20375299,3c:dc:75:82:1e:a8,1774861901422948,2026-03-30T17:11:41.422
ESPNOW_DATA,28555,372331467,20389481,3c:dc:75:82:1e:a8,1774861901437409,2026-03-30T17:11:41.437
ESPNOW_DATA,28556,372344467,20401961,3c:dc:75:82:1e:a8,1774861901448495,2026-03-30T17:11:41.448
ESPNOW_DATA,28557,372357467,20414288,3c:dc:75:82:1e:a8,1774861901461649,2026-03-30T17:11:41.461
