type,pkt_count,mac,rssi,rate,noise_floor,channel,rx_local_timestamp_us,len,data,host_rx_us,host_rx_iso
CSI_DATA,9260,3c:dc:75:82:1e:a8,-24,11,-99,149,1539973096,234,"[-11,14,-13,15,-14,14,-18,12,-18,12,-17,13,-18,13,-19,10,-20,12,-22,11,-23,8,-22,8,-24,8,-23,8,-22,5,-23,8,-23,9,-23,7,-21,7,-22,7,-22,4,-24,8,-23,7,-23,6,-25,5,-23,7,-24,7,-23,6,-23,8,-24,8,-23,9,-26,8,-25,8,-25,7,-28,11,-25,11,-25,10,-25,12,-26,11,-28,11,-26,12,-27,17,-28,14,-29,16,-27,16,-26,15,-30,16,-28,21,-29,18,-33,19,-32,18,-30,20,-30,17,-32,18,-33,21,-33,20,-32,22,0,0,0,0,0,0,20,32,22,33,21,29,21,27,24,30,21,26,21,28,21,29,21,26,20,25,21,25,20,24,24,24,22,27,20,25,21,22,20,23,21,21,18,20,19,20,21,20,20,21,20,17,19,19,18,18,17,19,20,19,20,16,17,18,20,16,18,16,19,17,17,16,18,13,19,14,18,17,19,14,17,15,20,17,19,15,18,15,19,18,18,17,17,17,17,19,21,15,17,17,18,18,16,18,15,17,14,18,14,17,11,17,11,19,8,18,8,18,7,18]",1776323385783644,2026-04-16T15:09:45.783
CSI_DATA,9261,3c:dc:75:82:1e:a8,-24,11,-99,149,1539986096,234,"[17,-4,19,-3,20,0,22,0,22,-1,20,2,21,3,21,3,23,4,23,6,25,8,22,6,24,7,23,8,21,9,22,8,22,9,23,10,22,8,21,9,21,9,23,9,23,9,24,9,22,12,23,9,22,9,21,11,22,11,24,9,23,10,25,12,25,12,25,11,28,9,27,9,28,9,27,7,28,10,29,9,28,8,31,8,29,8,34,8,29,9,30,7,31,7,34,7,32,7,37,9,36,9,34,7,33,9,36,10,38,8,37,6,39,9,0,0,0,0,0,0,7,-37,9,-39,6,-36,6,-35,5,-35,6,-33,6,-35,6,-36,4,-36,7,-32,5,-32,2,-32,4,-32,3,-33,5,-31,2,-29,3,-32,2,-30,4,-27,2,-29,1,-28,5,-28,-1,-26,1,-26,2,-25,4,-25,2,-25,0,-25,2,-26,-3,-23,0,-22,1,-26,2,-25,-1,-25,0,-23,1,-26,2,-26,0,-23,1,-27,0,-24,0,-24,1,-25,1,-27,2,-24,3,-24,1,-25,3,-24,4,-25,6,-23,5,-23,8,-22,5,-21,6,-21,8,-19,9,-19,8,-17,11,-16]",1776323385835629,2026-04-16T15:09:45.835
CSI_DATA,9262,3c:dc:75:82:1e:a8,-24,11,-99,149,1539999814,234,"[9,16,9,16,10,18,9,19,9,20,7,20,8,20,8,21,10,21,7,23,6,23,7,23,10,25,8,25,5,23,7,24,8,23,7,24,10,22,7,22,7,23,9,23,9,23,10,22,9,24,13,22,11,21,10,24,12,21,16,20,13,22,14,24,14,23,16,21,17,22,19,23,19,20,20,20,21,20,23,21,21,21,24,21,24,19,25,20,25,18,25,17,28,18,28,15,31,18,32,18,32,17,34,15,32,16,32,14,36,13,37,13,36,12,0,0,0,0,0,0,9,-36,10,-39,8,-36,8,-34,5,-37,4,-35,3,-36,5,-36,1,-36,2,-31,1,-31,0,-31,-2,-34,-3,-32,-1,-31,-5,-29,-6,-32,-7,-30,-4,-30,-7,-28,-9,-26,-7,-27,-8,-24,-9,-22,-6,-25,-10,-24,-8,-23,-12,-23,-10,-23,-14,-21,-11,-21,-11,-23,-12,-22,-15,-19,-14,-19,-14,-20,-14,-21,-16,-20,-16,-20,-15,-18,-16,-17,-14,-17,-18,-21,-17,-19,-14,-20,-17,-19,-14,-19,-16,-20,-13,-17,-14,-17,-14,-19,-12,-18,-12,-18,-11,-18,-9,-18,-10,-17,-7,-16]",1776323385848520,2026-04-16T15:09:45.848
CSI_DATA,9263,3c:dc:75:82:1e:a8,-23,11,-99,149,1540012096,234,"[2,19,2,18,2,20,0,20,-1,21,-3,21,-5,21,-3,23,-4,23,-7,23,-11,24,-9,23,-9,23,-9,23,-10,20,-10,22,-10,22,-12,22,-10,19,-12,20,-12,21,-11,22,-13,21,-13,21,-16,20,-11,21,-12,19,-15,20,-14,21,-12,21,-15,22,-15,23,-15,23,-16,22,-16,24,-13,25,-16,26,-15,25,-16,24,-16,27,-15,24,-14,29,-16,27,-16,30,-15,27,-15,29,-16,30,-17,31,-13,30,-19,31,-17,31,-16,32,-18,30,-20,33,-18,34,-18,32,-18,33,0,0,0,0,0,0,31,17,34,22,31,19,31,18,33,19,31,18,31,20,31,19,31,17,28,17,28,16,27,18,29,14,28,16,29,19,25,15,27,15,26,14,22,16,25,14,25,12,25,16,21,12,23,15,21,15,20,11,22,14,23,12,22,16,23,9,21,13,21,13,20,13,20,10,21,12,21,15,22,13,21,11,24,12,22,13,21,14,20,14,20,16,21,14,18,13,22,15,18,17,20,17,17,16,17,18,15,19,14,17,12,15,11,20,9,18,9,17,6,18]",1776323385860871,2026-04-16T15:09:45.860
CSI_DATA,9264,3c:dc:75:82:1e:a8,-24,11,-99,149,1540025096,234,"[16,7,16,6,17,10,17,12,18,11,16,13,17,14,17,12,18,14,17,14,19,15,19,15,19,16,19,17,17,17,15,17,19,16,17,16,18,16,17,15,16,15,18,15,18,13,21,14,19,14,21,11,20,12,20,13,19,13,23,11,20,12,23,15,23,15,23,11,25,11,25,11,24,7,27,7,28,9,29,7,28,7,31,5,29,7,32,5,30,5,32,5,32,2,32,1,33,2,35,2,36,-1,33,-3,35,0,35,1,37,-2,37,-4,36,-2,0,0,0,0,0,0,-5,-35,-5,-35,-8,-35,-7,-33,-9,-33,-10,-33,-11,-32,-9,-34,-11,-30,-11,-32,-11,-28,-12,-28,-13,-28,-13,-28,-15,-27,-16,-25,-17,-26,-15,-24,-14,-24,-14,-23,-18,-22,-15,-23,-18,-20,-15,-20,-15,-20,-14,-19,-18,-18,-19,-15,-18,-17,-19,-12,-16,-14,-18,-16,-17,-16,-19,-13,-20,-13,-20,-17,-19,-15,-19,-12,-21,-13,-19,-13,-18,-11,-22,-12,-22,-12,-22,-13,-20,-13,-21,-11,-20,-14,-20,-13,-18,-15,-19,-13,-17,-14,-18,-12,-15,-13,-15,-14,-15,-13,-13,-12,-11,-13]",1776323385873198,2026-04-16T15:09:45.873
CSI_DATA,9265,3c:dc:75:82:1e:a8,-24,11,-99,149,1540038096,234,"[-5,-16,-6,-17,-5,-19,-5,-21,-6,-21,-2,-19,-2,-21,-2,-21,-4,-23,-3,-23,0,-24,0,-23,-1,-25,-1,-25,0,-23,0,-23,-2,-23,0,-24,-2,-22,-1,-23,2,-23,-3,-25,0,-24,-2,-23,0,-24,-3,-22,-2,-22,-2,-24,-5,-24,-8,-23,-5,-23,-5,-27,-4,-25,-5,-25,-8,-27,-8,-28,-8,-25,-11,-26,-10,-27,-11,-27,-12,-26,-16,-26,-13,-26,-16,-27,-14,-26,-13,-26,-17,-26,-17,-27,-21,-27,-19,-30,-23,-27,-22,-26,-19,-28,-21,-27,-26,-27,-25,-27,-25,-27,0,0,0,0,0,0,-27,28,-25,27,-23,29,-24,27,-23,27,-21,27,-20,29,-20,28,-18,28,-18,24,-17,26,-18,25,-17,29,-16,27,-15,26,-14,27,-12,27,-11,26,-13,25,-9,26,-6,25,-10,25,-6,23,-7,23,-9,23,-6,25,-7,24,-3,25,-7,24,-3,23,-5,24,-6,24,-3,24,-1,23,-2,23,-4,24,-1,22,-2,24,-2,26,-2,23,-1,21,0,24,0,26,0,25,-1,25,2,25,0,23,-1,25,-3,21,-3,22,-3,22,-4,21,-4,21,-7,21,-5,20,-6,18,-8,17]",1776323385886478,2026-04-16T15:09:45.886
CSI_DATA,9266,3c:dc:75:82:1e:a8,-24,11,-99,149,1540051096,234,"[14,11,13,13,13,14,13,16,12,16,11,18,11,18,11,19,10,21,8,20,9,23,8,22,8,23,7,23,3,21,4,24,4,25,2,24,3,22,3,22,2,21,3,21,0,23,0,23,-2,25,2,24,-1,24,-3,25,-1,22,1,25,-3,24,-3,26,-2,26,0,26,-2,27,-2,27,-2,26,-1,30,-4,28,-1,30,-3,29,-1,30,-4,30,-4,32,-1,30,-3,32,-3,30,-2,32,-3,33,-5,33,-6,35,-4,34,-7,35,-6,34,-6,37,-6,36,-6,36,0,0,0,0,0,0,34,9,36,11,36,9,32,9,33,10,33,12,33,10,33,13,31,10,31,12,31,11,28,9,29,10,28,11,29,13,28,10,30,12,25,10,25,13,26,11,26,9,22,12,24,8,23,10,22,11,21,9,23,13,24,9,23,11,22,9,19,11,21,12,20,12,22,11,19,11,21,13,22,12,19,11,20,14,19,13,20,12,19,14,19,15,19,14,17,17,18,16,16,19,17,19,14,19,13,18,12,18,12,18,10,17,8,18,5,19,5,19,3,19]",1776323385899670,2026-04-16T15:09:45.899
CSI_DATA,9267,3c:dc:75:82:1e:a8,-24,11,-99,149,1540064096,234,"[-3,-16,-1,-18,0,-18,1,-19,3,-20,5,-19,5,-21,8,-20,7,-21,8,-20,10,-23,10,-19,11,-22,12,-21,15,-19,14,-19,13,-19,17,-18,14,-17,18,-17,17,-14,17,-18,17,-16,17,-17,18,-15,17,-18,18,-15,20,-13,19,-15,18,-16,19,-16,23,-15,22,-13,23,-15,21,-15,23,-18,21,-15,21,-18,23,-16,23,-17,24,-15,24,-20,25,-17,26,-16,25,-17,26,-16,27,-17,27,-16,29,-16,31,-15,31,-20,30,-19,32,-16,32,-16,33,-19,33,-17,33,-15,0,0,0,0,0,0,-13,-35,-11,-34,-13,-33,-9,-32,-13,-33,-10,-33,-11,-32,-10,-34,-9,-31,-7,-32,-9,-30,-8,-29,-9,-31,-7,-29,-8,-31,-8,-28,-9,-29,-8,-28,-2,-28,-6,-27,-9,-25,-4,-28,-4,-24,-2,-26,0,-25,-2,-25,-2,-24,-4,-24,-2,-24,-5,-24,-3,-23,-1,-25,-1,-23,-2,-22,-1,-23,2,-25,2,-23,1,-23,1,-24,3,-24,2,-23,2,-24,3,-25,4,-24,7,-23,5,-24,6,-23,8,-24,9,-20,10,-19,12,-19,10,-17,10,-16,15,-15,13,-16,13,-14,14,-11]",1776323385912153,2026-04-16T15:09:45.912
CSI_DATA,9268,3c:dc:75:82:1e:a8,-23,11,-99,149,1540077114,234,"[-8,-15,-8,-16,-8,-16,-8,-19,-9,-19,-7,-19,-6,-21,-6,-21,-6,-22,-6,-22,-5,-23,-4,-22,-6,-25,-3,-26,-2,-23,-1,-22,-4,-24,-2,-25,-3,-23,-2,-23,-1,-24,-4,-23,-4,-22,-4,-22,-2,-24,-5,-23,-2,-24,-1,-25,-4,-24,-6,-25,-5,-24,-3,-26,-5,-26,-6,-24,-7,-26,-7,-27,-7,-25,-9,-25,-8,-27,-11,-29,-9,-27,-13,-29,-9,-28,-14,-30,-9,-30,-10,-30,-13,-31,-14,-29,-15,-29,-15,-31,-16,-31,-16,-31,-14,-32,-15,-31,-20,-33,-19,-31,-18,-32,0,0,0,0,0,0,-32,20,-33,20,-28,19,-29,17,-30,21,-28,18,-29,21,-28,21,-28,23,-25,17,-25,17,-24,19,-24,21,-23,21,-23,19,-20,21,-22,23,-20,21,-21,19,-19,18,-18,20,-21,17,-16,19,-19,19,-18,18,-16,19,-15,18,-14,21,-17,19,-12,21,-15,19,-15,19,-14,19,-12,19,-13,19,-16,18,-14,20,-12,21,-14,20,-13,18,-13,18,-13,20,-15,20,-14,21,-14,20,-13,21,-16,17,-16,20,-15,16,-16,16,-17,15,-15,15,-16,13,-16,13,-17,12,-16,11,-15,7]",1776323385925746,2026-04-16T15:09:45.925
CSI_DATA,9269,3c:dc:75:82:1e:a8,-24,11,-99,149,1540090099,234,"[-5,16,-8,16,-9,17,-9,17,-13,16,-12,18,-12,17,-15,16,-16,17,-17,16,-17,17,-17,15,-17,17,-18,15,-19,13,-20,15,-17,16,-19,16,-16,14,-18,12,-19,12,-18,14,-19,14,-18,15,-21,13,-18,15,-19,14,-21,15,-19,15,-17,17,-20,16,-21,15,-21,16,-21,15,-21,18,-20,18,-19,19,-20,21,-19,20,-20,21,-20,20,-21,24,-20,23,-20,25,-20,22,-21,23,-21,25,-21,26,-21,25,-23,26,-22,28,-20,30,-21,26,-23,28,-19,31,-21,29,-20,29,0,0,0,0,0,0,31,20,30,20,30,18,31,18,29,18,29,17,31,16,30,18,29,15,28,17,26,16,27,16,27,15,28,16,28,15,26,13,27,13,26,12,23,13,27,12,27,9,25,12,24,8,22,10,22,11,22,9,23,11,24,6,23,8,24,6,23,8,23,8,24,8,21,5,21,5,22,9,24,8,21,7,23,7,22,8,23,8,24,6,25,8,24,7,22,9,25,7,24,10,23,9,19,12,19,10,20,11,19,10,16,11,17,14,14,13,14,13,11,14]",1776323385938327,2026-04-16T15:09:45.939
